Genome,Bars,Notes,Steps,Pauses,Key,Scale,ScaleRoot,bpm,Rating
1001011010010000100001111101100000000100011100011111010010011000,4,4,1,True,0,0,4,128,1
1010110011100101011100001001100111111000111101101001011011001110,4,4,1,True,0,0,4,128,2
1010000010111010011111100110110000010011011000010101011101111010,4,4,1,True,0,0,4,128,3
0110001000000001000111110010010101110000101010011101111000101010,4,4,1,True,0,0,4,128,4
1011110100001101001001110110011001001011011001011000111110001011,4,4,1,True,0,0,4,128,3
1111010010001000101011111011100011001110001101000100000110001100,4,4,1,True,0,0,4,128,5
0100000011110100100010100111011000010110110100011001010010111100,4,4,1,True,0,0,4,128,2
1000010101000011110000010010000000000110110111010111100011001100,4,4,1,True,0,0,4,128,4
1111001011000101111001101000011011101100010101101011100001101110,4,4,1,True,0,0,4,128,3
1000010011011100100110010001100110000111110101000000101101010011,4,4,1,True,0,0,4,128,1
0110011110100011110011110001100111100101110110010000001101001100,4,4,1,True,0,0,4,128,2
0110011100110000000100100000000111111011010010010100110111101011,4,4,1,True,0,0,4,128,2
0001010101000000010001000000110101010010000001011011111000111110,4,4,1,True,0,0,4,128,3
0001000101101101110111100100110000110101111001010101011110011110,4,4,1,True,0,0,4,128,4
0011011110111010011001010100110001000111011101000110000011000001,4,4,1,True,0,0,4,128,1
1100010001111111110111100001001111110001111101101100111010110101,4,4,1,True,0,0,4,128,1
0111110000001010001110101101110100010010100011111011001011001000,4,4,1,True,0,0,4,128,4
1010010010011011111011011110011001000101101001001101111110001101,4,4,1,True,0,0,4,128,5
0010101001010110110110110000011100101001100101101111101110001101,4,4,1,True,0,0,4,128,3
0111110001101110111010111011011101011000100111011101010101111000,4,4,1,True,0,0,4,128,3
0001110010100110000010101101001111110011111000000100011100100010,4,4,1,True,0,0,4,128,4
1000111111010111100001010100010110101111010001101011011110001110,4,4,1,True,0,0,4,128,2
0000010111001011011110100010011100001000010001011011000011100101,4,4,1,True,0,0,4,128,1
1101111000000001100011101000000101101001000101101100110000001001,4,4,1,True,0,0,4,128,3
0110000011000110010111111010010111001010011101111001111011010000,4,4,1,True,0,0,4,128,4
1011100101001111110001111100001010101010110111100111101011101111,4,4,1,True,0,0,4,128,2
